Vulnerability ID        Package              Severity        Fix         CVE Refs              Vulnerability URL                                      
CVE-2019-9636           Python-2.7.16        Critical        None        CVE-2019-9636         https://nvd.nist.gov/vuln/detail/CVE-2019-9636         
CVE-2019-9948           Python-2.7.16        Critical        None        CVE-2019-9948         https://nvd.nist.gov/vuln/detail/CVE-2019-9948         
CVE-2015-5652           Python-2.7.16        High            None        CVE-2015-5652         https://nvd.nist.gov/vuln/detail/CVE-2015-5652         
CVE-2017-17522          Python-2.7.16        High            None        CVE-2017-17522        https://nvd.nist.gov/vuln/detail/CVE-2017-17522        
CVE-2019-13404          Python-2.7.16        High            None        CVE-2019-13404        https://nvd.nist.gov/vuln/detail/CVE-2019-13404        
CVE-2017-18207          Python-2.7.16        Medium          None        CVE-2017-18207        https://nvd.nist.gov/vuln/detail/CVE-2017-18207        
CVE-2018-20852          Python-2.7.16        Medium          None        CVE-2018-20852        https://nvd.nist.gov/vuln/detail/CVE-2018-20852        
CVE-2019-16056          Python-2.7.16        Medium          None        CVE-2019-16056        https://nvd.nist.gov/vuln/detail/CVE-2019-16056        
CVE-2019-16935          Python-2.7.16        Medium          None        CVE-2019-16935        https://nvd.nist.gov/vuln/detail/CVE-2019-16935        
CVE-2019-18348          Python-2.7.16        Medium          None        CVE-2019-18348        https://nvd.nist.gov/vuln/detail/CVE-2019-18348        
CVE-2019-9740           Python-2.7.16        Medium          None        CVE-2019-9740         https://nvd.nist.gov/vuln/detail/CVE-2019-9740         
CVE-2019-9947           Python-2.7.16        Medium          None        CVE-2019-9947         https://nvd.nist.gov/vuln/detail/CVE-2019-9947         
