Vulnerability ID        Package                                     Severity          Fix                    CVE Refs                Vulnerability URL                                                   
CVE-2017-1000158        Python-2.7.13                               Critical          None                   CVE-2017-1000158        https://nvd.nist.gov/vuln/detail/CVE-2017-1000158                   
CVE-2019-9636           Python-2.7.13                               Critical          None                   CVE-2019-9636           https://nvd.nist.gov/vuln/detail/CVE-2019-9636                      
CVE-2019-9948           Python-2.7.13                               Critical          None                   CVE-2019-9948           https://nvd.nist.gov/vuln/detail/CVE-2019-9948                      
CVE-2015-5652           Python-2.7.13                               High              None                   CVE-2015-5652           https://nvd.nist.gov/vuln/detail/CVE-2015-5652                      
CVE-2018-1060           Python-2.7.13                               High              None                   CVE-2018-1060           https://nvd.nist.gov/vuln/detail/CVE-2018-1060                      
CVE-2018-1061           Python-2.7.13                               High              None                   CVE-2018-1061           https://nvd.nist.gov/vuln/detail/CVE-2018-1061                      
CVE-2018-14647          Python-2.7.13                               High              None                   CVE-2018-14647          https://nvd.nist.gov/vuln/detail/CVE-2018-14647                     
CVE-2019-13404          Python-2.7.13                               High              None                   CVE-2019-13404          https://nvd.nist.gov/vuln/detail/CVE-2019-13404                     
CVE-2014-4616           Python-2.7.13                               Medium            None                   CVE-2014-4616           https://nvd.nist.gov/vuln/detail/CVE-2014-4616                      
CVE-2017-18207          Python-2.7.13                               Medium            None                   CVE-2017-18207          https://nvd.nist.gov/vuln/detail/CVE-2017-18207                     
CVE-2018-20852          Python-2.7.13                               Medium            None                   CVE-2018-20852          https://nvd.nist.gov/vuln/detail/CVE-2018-20852                     
CVE-2019-16056          Python-2.7.13                               Medium            None                   CVE-2019-16056          https://nvd.nist.gov/vuln/detail/CVE-2019-16056                     
CVE-2019-16935          Python-2.7.13                               Medium            None                   CVE-2019-16935          https://nvd.nist.gov/vuln/detail/CVE-2019-16935                     
CVE-2019-9740           Python-2.7.13                               Medium            None                   CVE-2019-9740           https://nvd.nist.gov/vuln/detail/CVE-2019-9740                      
CVE-2019-9947           Python-2.7.13                               Medium            None                   CVE-2019-9947           https://nvd.nist.gov/vuln/detail/CVE-2019-9947                      
CVE-2007-6755           libssl1.1-1.1.0k-1~deb9u1                   Negligible        None                   CVE-2007-6755           https://security-tracker.debian.org/tracker/CVE-2007-6755           
CVE-2007-6755           openssl-1.1.0k-1~deb9u1                     Negligible        None                   CVE-2007-6755           https://security-tracker.debian.org/tracker/CVE-2007-6755           
CVE-2010-0928           libssl1.1-1.1.0k-1~deb9u1                   Negligible        None                   CVE-2010-0928           https://security-tracker.debian.org/tracker/CVE-2010-0928           
CVE-2010-0928           openssl-1.1.0k-1~deb9u1                     Negligible        None                   CVE-2010-0928           https://security-tracker.debian.org/tracker/CVE-2010-0928           
CVE-2010-4051           libc-bin-2.24-11+deb9u4                     Negligible        None                   CVE-2010-4051           https://security-tracker.debian.org/tracker/CVE-2010-4051           
CVE-2010-4051           libc6-2.24-11+deb9u4                        Negligible        None                   CVE-2010-4051           https://security-tracker.debian.org/tracker/CVE-2010-4051           
CVE-2010-4052           libc-bin-2.24-11+deb9u4                     Negligible        None                   CVE-2010-4052           https://security-tracker.debian.org/tracker/CVE-2010-4052           
CVE-2010-4052           libc6-2.24-11+deb9u4                        Negligible        None                   CVE-2010-4052           https://security-tracker.debian.org/tracker/CVE-2010-4052           
CVE-2010-4756           libc-bin-2.24-11+deb9u4                     Negligible        None                   CVE-2010-4756           https://security-tracker.debian.org/tracker/CVE-2010-4756           
CVE-2010-4756           libc6-2.24-11+deb9u4                        Negligible        None                   CVE-2010-4756           https://security-tracker.debian.org/tracker/CVE-2010-4756           
CVE-2013-0340           libexpat1-2.2.0-2+deb9u2                    Negligible        None                   CVE-2013-0340           https://security-tracker.debian.org/tracker/CVE-2013-0340           
CVE-2013-7040           libpython2.7-minimal-2.7.13-2+deb9u3        Negligible        None                   CVE-2013-7040           https://security-tracker.debian.org/tracker/CVE-2013-7040           
CVE-2013-7040           python2.7-minimal-2.7.13-2+deb9u3           Negligible        None                   CVE-2013-7040           https://security-tracker.debian.org/tracker/CVE-2013-7040           
CVE-2015-8985           libc-bin-2.24-11+deb9u4                     Negligible        None                   CVE-2015-8985           https://security-tracker.debian.org/tracker/CVE-2015-8985           
CVE-2015-8985           libc6-2.24-11+deb9u4                        Negligible        None                   CVE-2015-8985           https://security-tracker.debian.org/tracker/CVE-2015-8985           
CVE-2017-13685          libsqlite3-0-3.27.2-3~bpo9+1                Negligible        None                   CVE-2017-13685          https://security-tracker.debian.org/tracker/CVE-2017-13685          
CVE-2017-17522          libpython2.7-minimal-2.7.13-2+deb9u3        Negligible        None                   CVE-2017-17522          https://security-tracker.debian.org/tracker/CVE-2017-17522          
CVE-2017-17522          python2.7-minimal-2.7.13-2+deb9u3           Negligible        None                   CVE-2017-17522          https://security-tracker.debian.org/tracker/CVE-2017-17522          
CVE-2018-1000030        libpython2.7-minimal-2.7.13-2+deb9u3        Negligible        None                   CVE-2018-1000030        https://security-tracker.debian.org/tracker/CVE-2018-1000030        
CVE-2018-1000030        python2.7-minimal-2.7.13-2+deb9u3           Negligible        None                   CVE-2018-1000030        https://security-tracker.debian.org/tracker/CVE-2018-1000030        
CVE-2018-20796          libc-bin-2.24-11+deb9u4                     Negligible        None                   CVE-2018-20796          https://security-tracker.debian.org/tracker/CVE-2018-20796          
CVE-2018-20796          libc6-2.24-11+deb9u4                        Negligible        None                   CVE-2018-20796          https://security-tracker.debian.org/tracker/CVE-2018-20796          
CVE-2019-1010022        libc-bin-2.24-11+deb9u4                     Negligible        None                   CVE-2019-1010022        https://security-tracker.debian.org/tracker/CVE-2019-1010022        
CVE-2019-1010022        libc6-2.24-11+deb9u4                        Negligible        None                   CVE-2019-1010022        https://security-tracker.debian.org/tracker/CVE-2019-1010022        
CVE-2019-1010023        libc-bin-2.24-11+deb9u4                     Negligible        None                   CVE-2019-1010023        https://security-tracker.debian.org/tracker/CVE-2019-1010023        
CVE-2019-1010023        libc6-2.24-11+deb9u4                        Negligible        None                   CVE-2019-1010023        https://security-tracker.debian.org/tracker/CVE-2019-1010023        
CVE-2019-1010024        libc-bin-2.24-11+deb9u4                     Negligible        None                   CVE-2019-1010024        https://security-tracker.debian.org/tracker/CVE-2019-1010024        
CVE-2019-1010024        libc6-2.24-11+deb9u4                        Negligible        None                   CVE-2019-1010024        https://security-tracker.debian.org/tracker/CVE-2019-1010024        
CVE-2019-1010025        libc-bin-2.24-11+deb9u4                     Negligible        None                   CVE-2019-1010025        https://security-tracker.debian.org/tracker/CVE-2019-1010025        
CVE-2019-1010025        libc6-2.24-11+deb9u4                        Negligible        None                   CVE-2019-1010025        https://security-tracker.debian.org/tracker/CVE-2019-1010025        
CVE-2019-15903          libexpat1-2.2.0-2+deb9u2                    Negligible        2.2.0-2+deb9u3         CVE-2019-15903          https://security-tracker.debian.org/tracker/CVE-2019-15903          
CVE-2019-18348          libpython2.7-minimal-2.7.13-2+deb9u3        Negligible        None                   CVE-2019-18348          https://security-tracker.debian.org/tracker/CVE-2019-18348          
CVE-2019-18348          python2.7-minimal-2.7.13-2+deb9u3           Negligible        None                   CVE-2019-18348          https://security-tracker.debian.org/tracker/CVE-2019-18348          
CVE-2019-6488           libc-bin-2.24-11+deb9u4                     Negligible        None                   CVE-2019-6488           https://security-tracker.debian.org/tracker/CVE-2019-6488           
CVE-2019-6488           libc6-2.24-11+deb9u4                        Negligible        None                   CVE-2019-6488           https://security-tracker.debian.org/tracker/CVE-2019-6488           
CVE-2019-7309           libc-bin-2.24-11+deb9u4                     Negligible        None                   CVE-2019-7309           https://security-tracker.debian.org/tracker/CVE-2019-7309           
CVE-2019-7309           libc6-2.24-11+deb9u4                        Negligible        None                   CVE-2019-7309           https://security-tracker.debian.org/tracker/CVE-2019-7309           
CVE-2019-9192           libc-bin-2.24-11+deb9u4                     Negligible        None                   CVE-2019-9192           https://security-tracker.debian.org/tracker/CVE-2019-9192           
CVE-2019-9192           libc6-2.24-11+deb9u4                        Negligible        None                   CVE-2019-9192           https://security-tracker.debian.org/tracker/CVE-2019-9192           
CVE-2019-1547           libssl1.1-1.1.0k-1~deb9u1                   Unknown           1.1.0l-1~deb9u1        CVE-2019-1547           https://security-tracker.debian.org/tracker/CVE-2019-1547           
CVE-2019-1547           openssl-1.1.0k-1~deb9u1                     Unknown           1.1.0l-1~deb9u1        CVE-2019-1547           https://security-tracker.debian.org/tracker/CVE-2019-1547           
CVE-2019-1563           libssl1.1-1.1.0k-1~deb9u1                   Unknown           1.1.0l-1~deb9u1        CVE-2019-1563           https://security-tracker.debian.org/tracker/CVE-2019-1563           
CVE-2019-1563           openssl-1.1.0k-1~deb9u1                     Unknown           1.1.0l-1~deb9u1        CVE-2019-1563           https://security-tracker.debian.org/tracker/CVE-2019-1563           
